req_id,occupancy,occupancy_max,occupancy_pct,acc_rate,accepted_from_rate,generated_from_rate,gen_tokens,acc_tokens,gen_drafts,acc_drafts,calls_b,calls_g,calls_a,dur_b,dur_g,dur_a,prompt_tokens,prompt_tps,prompt_ms_per_token,eval_tokens,eval_tps,eval_ms_per_token,total_ms,total_tokens,draft_overhead,acc_to_gen_ratio,verif_pct,output_tokens
1,22405,4194304,0.5341768264770508,0.1282051282051282,5,39,39,5,1,1,1,230,1,1.345,0.237,0.0,23379,974.71,1.03,236,29.01,34.47,32119.63,23615,7.8,0.1282051282051282,0.0,236
2,45681,4194304,1.0891199111938477,0.10465116279069768,4,47,86,9,2,2,2,568,2,4.044,0.601,0.0,24712,781.18,1.28,343,27.15,36.84,44268.99,25055,9.555555555555555,0.10465116279069768,0.0,343
3,46304,4194304,1.103973388671875,0.17391304347826086,4,47,230,40,5,5,3,699,5,6.772,3.463,0.272,24712,781.18,1.28,343,27.15,36.84,44268.99,25055,5.75,0.17391304347826086,2.588750356904921,343
4,47730,4194304,1.1379718780517578,0.24866310160427807,31,144,374,93,8,8,4,816,8,9.566,6.369,0.533,1325,645.23,1.55,163,29.2,34.25,6233.02,478,4.021505376344086,0.24866310160427807,3.236580034005344,163
5,48840,4194304,1.1644363403320312,0.24407582938388625,53,144,422,103,9,9,5,1106,9,12.503,6.668,0.534,1127,629.99,1.59,171,33.08,30.23,7223.26,1496,4.097087378640777,0.24407582938388625,2.7099720883024614,171
6,55358,4194304,1.3198375701904297,0.222007722007722,12,96,518,115,11,11,6,1965,11,15.722,10.853,0.795,6338,667.56,1.5,872,26.47,37.78,42435.05,7210,4.504347826086956,0.222007722007722,2.904640116916332,872
7,58136,4194304,1.3860702514648438,0.2306791569086651,12,96,854,197,18,18,7,3665,18,19.153,16.054,1.058,1973,620.24,1.61,872,26.47,37.78,42435.05,7210,4.33502538071066,0.2306791569086651,2.9174134840755555,872
8,59877,4194304,1.4275789260864258,0.24070247933884298,82,336,968,233,21,21,8,3718,21,22.602,16.134,1.06,1973,620.24,1.61,1783,26.81,37.3,69687.29,3756,4.15450643776824,0.24070247933884298,2.663584279827118,1783
9,60324,4194304,1.4382362365722656,0.23330832708177043,36,114,1333,311,29,29,9,5353,29,26.125,24.953,1.588,76,215.52,4.64,90,32.11,31.14,3155.52,166,4.286173633440514,0.23330832708177043,3.0152280408612766,90
10,62038,4194304,1.4791011810302734,0.2097902097902098,19,240,1573,330,34,34,10,5589,34,29.644,32.345,2.052,42548,737.79,1.36,256,24.97,40.05,67923.35,42804,4.766666666666667,0.2097902097902098,3.2041973110975785,256
11,62338,4194304,1.4862537384033203,0.22228879568603954,19,240,1669,371,36,36,11,5634,36,33.226,32.417,2.054,42548,737.79,1.36,256,24.97,40.05,67923.35,42804,4.498652291105121,0.22228879568603954,3.0341078629776796,256
12,62812,4194304,1.4975547790527344,0.24434638720353005,41,96,1813,443,39,39,12,6432,39,36.87,36.923,2.329,131,326.02,3.07,87,37.08,26.97,2747.98,218,4.09255079006772,0.24434638720353005,3.0595622816005887,87
13,63676,4194304,1.5181541442871094,0.23084245597334602,42,288,2101,485,45,45,13,6595,45,40.566,44.554,2.859,2370,616.65,1.62,206,26.28,38.05,11680.77,2576,4.331958762886598,0.23084245597334602,3.249639118425988,206
14,64078,4194304,1.5277385711669922,0.2400890868596882,42,288,2245,539,48,48,14,6715,48,44.268,48.378,3.136,2370,616.65,1.62,206,26.28,38.05,11680.77,2576,4.165120593692023,0.2400890868596882,3.2741016057296783,206
15,65219,4194304,1.5549421310424805,0.24160488443087658,54,144,2293,554,49,49,15,7650,49,48.062,49.394,3.137,1081,568.99,1.76,175,31.69,31.56,6223.25,475,4.1389891696750905,0.24160488443087658,3.118507251995666,175
16,68093,4194304,1.6234636306762695,0.23609689525759125,138,638,2931,692,63,63,16,8776,63,51.993,66.29,4.231,63399,758.15,1.32,1265,26.46,37.8,131438.57,64664,4.235549132947977,0.23609689525759125,3.4534828672641487,1265
17,69028,4194304,1.6457557678222656,0.23609689525759125,138,638,2931,692,63,63,17,8861,63,55.986,66.379,4.231,1315,556.1,1.8,86,25.85,38.68,5691.31,1401,4.235549132947977,0.23609689525759125,3.3421277133558718,86
18,69257,4194304,1.6512155532836914,0.23609689525759125,,,2931,692,63,63,18,8953,63,59.946,66.472,4.231,1315,556.1,1.8,86,25.85,38.68,5691.31,1401,4.235549132947977,0.23609689525759125,3.2384480554768884,86
19,69473,4194304,1.6563653945922852,0.23609689525759125,,,2931,692,63,63,19,9232,63,63.921,66.767,4.231,149,283.15,3.53,93,25.82,38.74,4128.72,242,4.235549132947977,0.23609689525759125,3.1359556474625516,93
20,70154,4194304,1.6726016998291016,0.2319127849355798,10,96,3027,702,65,65,20,9328,65,67.844,70.788,4.506,5386,617.34,1.62,107,25.27,39.57,12958.87,5493,4.311965811965812,0.2319127849355798,3.148011010353645,107
21,78541,4194304,1.872563362121582,0.22768842636392306,20,144,3171,722,68,68,21,10631,68,72.536,76.826,4.77,22553,572.13,1.75,1324,24.18,41.36,94173.35,23877,4.39196675900277,0.22768842636392306,3.094749954584382,1324
22,79889,4194304,1.9047021865844727,0.2335958005249344,79,258,3429,801,74,74,22,11542,74,77.322,82.765,5.035,24527,573.72,1.74,991,25.16,39.74,82131.55,25518,4.280898876404494,0.2335958005249344,3.049260546747254,991
23,80779,4194304,1.9259214401245117,0.2394404827207899,79,258,3646,873,79,79,23,11628,79,82.205,87.725,5.301,24527,573.72,1.74,991,25.16,39.74,82131.55,25518,4.176403207331043,0.2394404827207899,3.025149659592196,991
24,81339,4194304,1.9392728805541992,0.24397824397824397,72,217,3861,942,84,84,24,14081,84,87.076,95.519,5.564,698,450.3,2.22,159,31.09,32.16,5510.84,238,4.098726114649682,0.24397824397824397,2.957073538868723,159
25,84008,4194304,2.0029067993164062,0.2369538077403246,69,215,4005,949,87,87,25,15485,87,92.022,102.178,5.827,593,436.64,2.29,2523,24.28,41.19,105480.96,3221,4.220231822971549,0.2369538077403246,2.9131067305913705,2523
26,85603,4194304,2.0409345626831055,0.23289564616447822,7,144,4341,1011,94,94,26,15746,94,97.131,107.647,6.093,593,436.64,2.29,1412,23.63,42.32,61114.93,2005,4.293768545994065,0.23289564616447822,2.889444257389589,1412
27,86872,4194304,2.0711898803710938,0.22493051101133205,62,336,4677,1052,101,101,27,16383,101,102.339,118.632,6.577,1088,466.75,2.14,324,24.78,40.36,13751.68,548,4.445817490494297,0.22493051101133205,2.8903791727459702,324
28,88724,4194304,2.115345001220703,0.22493051101133205,,,4677,1052,101,101,29,17607,101,112.738,119.993,6.577,9414,523.81,1.91,133,23.76,42.08,23569.18,9547,4.445817490494297,0.22493051101133205,2.74834105002758,133
29,91326,4194304,2.1773815155029297,0.2246808510638298,4,23,4700,1056,102,102,30,19200,102,118.072,127.245,6.838,2685,495.02,2.02,1598,23.4,42.73,23569.18,9547,4.450757575757576,0.2246808510638298,2.711824076460907,1598
30,91821,4194304,2.189183235168457,0.22199509403107115,30,192,4892,1086,106,106,31,20182,106,123.451,133.901,7.101,4944,506.52,1.97,1013,23.44,42.66,52971.96,5957,4.504604051565377,0.22199509403107115,2.6851652278476705,1013
31,93589,4194304,2.2313356399536133,0.22449392712550606,30,192,4940,1109,107,107,32,20275,107,129.051,134.036,7.101,1343,459.73,2.18,1013,23.44,42.66,52971.96,5957,4.454463480613165,0.22449392712550606,2.6281700149525515,1013
32,94661,4194304,2.256894111633301,0.2471042471042471,23,48,5180,1280,112,112,33,21329,112,134.713,135.333,7.102,1040,445.28,2.25,117,25.7,38.91,7473.61,1460,4.046875,0.2471042471042471,2.562529767488851,117
33,96578,4194304,2.3025989532470703,0.2432381667918858,171,240,5324,1295,115,115,34,21531,115,140.489,141.31,7.378,920,432.75,2.31,1226,26.14,38.26,49236.29,2266,4.111196911196911,0.2432381667918858,2.5513785674517684,1226
34,96783,4194304,2.3074865341186523,0.2411282984531392,15,144,5495,1325,119,119,35,23367,119,146.039,155.017,7.905,237,363.07,2.75,218,22.4,44.65,11859.3,1138,4.1471698113207545,0.2411282984531392,2.558575354170915,218
35,98965,4194304,2.3595094680786133,0.23780812200744814,12,96,5639,1341,122,122,37,23650,122,157.701,161.071,8.167,8680,494.16,2.02,76,22.69,44.07,20914.91,8756,4.205070842654735,0.23780812200744814,2.4980195082263053,76
36,104043,4194304,2.4805784225463867,0.23808686477932126,13,48,5687,1354,123,123,38,25007,123,163.925,162.818,8.167,10042,466.75,2.14,1371,22.46,44.53,82560.61,11413,4.200147710487444,0.23808686477932126,2.4385655847839716,1371
37,117912,4194304,2.8112411499023438,0.23716089404538473,23,126,5861,1390,128,128,40,26668,128,177.533,178.482,8.601,33720,446.18,2.24,525,21.27,47.02,100258.06,34245,4.216546762589928,0.23716089404538473,2.358920069333217,525
38,117283,4194304,2.7962446212768555,0.23716089404538473,23,126,5861,1390,128,128,41,26907,128,184.347,178.764,8.601,33720,446.18,2.24,525,21.27,47.02,100258.06,34245,4.216546762589928,0.23716089404538473,2.3138881714876036,525
39,117578,4194304,2.8032779693603516,0.24744735162731335,161,407,6268,1551,137,137,42,28973,137,191.27,188.641,8.877,1518,398.99,2.51,2228,22.13,45.19,104484.3,3746,4.041263700838169,0.24744735162731335,2.283249483008735,2228
