req_id,occupancy,occupancy_max,occupancy_pct,acc_rate,accepted_from_rate,generated_from_rate,gen_tokens,acc_tokens,gen_drafts,acc_drafts,calls_b,calls_g,calls_a,dur_b,dur_g,dur_a,prompt_tokens,prompt_tps,prompt_ms_per_token,eval_tokens,eval_tps,eval_ms_per_token,total_ms,total_tokens,draft_overhead,acc_to_gen_ratio,verif_pct,output_tokens
1,81820,4194304,1.9507408142089844,0.3298611111111111,95,95,288,95,6,6,1,175,6,4.815,5.053,0.28,93382,742.92,1.35,271,29.08,34.39,135015.89,93653,3.031578947368421,0.3298611111111111,2.7591643673630277,271
2,82044,4194304,1.9560813903808594,0.2986111111111111,34,34,432,129,9,9,2,267,9,9.624,5.199,0.281,294,395.26,2.53,127,26.39,37.89,5556.4,421,3.3488372093023258,0.2986111111111111,1.8604343220338981,127
3,82187,4194304,1.9594907760620117,0.2986111111111111,,,432,129,9,9,3,319,9,14.444,5.26,0.281,150,297.67,3.36,53,24.7,40.48,2649.57,203,3.3488372093023258,0.2986111111111111,1.4060545409056795,53
4,82322,4194304,1.9627094268798828,0.2865853658536585,12,12,492,141,11,11,4,382,11,19.228,5.353,0.283,2585,532.72,1.88,76,23.99,41.68,8020.12,2661,3.4893617021276597,0.2865853658536585,1.1381917631917629,76
5,82683,4194304,1.9713163375854492,0.27040816326530615,18,18,588,159,13,13,6,696,13,28.874,10.615,0.563,2048,538.01,1.86,88,24.66,40.56,7375.84,2136,3.69811320754717,0.27040816326530615,1.4056726255867371,88
6,82311,4194304,1.962447166442871,0.6879699248120301,939,939,1596,1098,34,34,7,1103,34,33.712,11.387,0.569,1234,301.79,3.31,1347,58.25,17.17,27212.33,2581,1.453551912568306,0.6879699248120301,1.2459490233861783,1347
7,82743,4194304,1.9727468490600586,0.5928571428571429,645,645,2940,1743,62,62,8,1622,62,38.449,26.852,1.428,1370,516.28,1.94,1165,37.08,26.97,34070.02,2535,1.6867469879518073,0.5928571428571429,2.139999100840714,1165
8,83246,4194304,1.9847393035888672,0.5880503144654088,127,127,3180,1870,67,67,9,1770,67,43.288,27.1,1.43,1188,502.91,1.99,276,34.59,28.91,10341.39,1464,1.7005347593582887,0.5880503144654088,1.9911442813779272,276
9,83453,4194304,1.9896745681762695,0.5880503144654088,,,3180,1870,67,67,10,1868,67,48.175,27.219,1.43,299,394.96,2.53,99,24.2,41.32,4848.19,398,1.7005347593582887,0.5880503144654088,1.8613974799541806,99
10,83629,4194304,1.993870735168457,0.6664432529043789,1113,1113,4476,2983,94,94,11,2027,94,52.981,27.745,1.437,6353,477.14,2.1,1273,87.32,11.45,27893.36,7626,1.500502849480389,0.6664432529043789,1.7489624283436584,1273
11,83801,4194304,1.997971534729004,0.6470019342359767,1031,1031,6204,4014,130,130,12,2215,130,57.81,28.395,1.456,1293,504.48,1.98,1220,58.36,17.13,23467.27,2513,1.54559043348281,0.6470019342359767,1.6609438632915436,1220
12,83993,4194304,2.002549171447754,0.6372474555673705,181,181,6583,4195,139,139,13,2314,139,62.726,28.615,1.458,1243,500.34,2.0,281,39.67,25.21,9567.13,1524,1.569249106078665,0.6372474555673705,1.5711376200174572,281
13,84138,4194304,2.0060062408447266,0.6372474555673705,,,6583,4195,139,139,14,2377,139,67.654,28.698,1.458,304,396.15,2.52,64,24.17,41.37,3415.28,368,1.569249106078665,0.6372474555673705,1.4906451283099886,64
14,84307,4194304,2.010035514831543,0.6325256429314702,60,60,6727,4255,142,142,15,2492,142,72.532,28.893,1.458,5009,528.55,1.89,176,28.74,34.79,15600.38,5185,1.58096357226792,0.6325256429314702,1.4171437458083456,176
15,84465,4194304,2.0138025283813477,0.6325256429314702,,,6727,4255,142,142,16,2580,142,77.433,29.014,1.458,199,352.61,2.84,89,24.04,41.59,4266.18,288,1.58096357226792,0.6325256429314702,1.3511885454798203,89
16,84603,4194304,2.017092704772949,0.625950911439644,106,106,6967,4361,147,147,17,2655,147,82.348,34.056,1.728,2350,506.86,1.97,182,36.88,27.11,9570.67,2532,1.5975693648245815,0.625950911439644,1.4627704601632074,182
17,84422,4194304,2.012777328491211,0.625950911439644,,,6967,4361,147,147,18,2689,147,87.31,34.103,1.728,202,358.36,2.79,35,24.45,40.9,1995.08,237,1.5975693648245815,0.625950911439644,1.4032694228567253,35
18,84935,4194304,2.025008201599121,0.6180565321333146,34,34,7111,4395,150,150,19,2761,150,257.209,38.882,1.996,97023,721.45,1.39,107,24.78,40.36,138802.02,97130,1.6179749715585894,0.6180565321333146,0.6696031695444619,107
19,80063,4194304,1.9088506698608398,0.6091688205686301,83,83,7351,4478,155,155,20,2875,155,261.932,43.779,2.264,3031,518.33,1.93,198,29.5,33.89,12558.51,3229,1.6415810629745422,0.6091688205686301,0.735124604269827,198
